"source_csv","match_key","match_value","secondary_key","secondary_value","used_in_surface","text_column","text_type","current_text","??o????","operator_note"
"term_dictionary_normalized.csv","term_id","integratedCancer","term_label","?????","bottom_sheet|inline_highlight","term_label","????","?????","","rider_catalog?? minor_category=?????? ???? ???"
"term_dictionary_normalized.csv","term_id","integratedCancer","term_label","?????","bottom_sheet|inline_highlight","aliases_csv","????","?????","","rider_catalog?? minor_category=?????? ???? ???"
"term_dictionary_normalized.csv","term_id","integratedCancer","term_label","?????","bottom_sheet|inline_highlight","plain_summary","????","?? ?????? ??????? ???? ???????? ??? ?????? ???? ?? ??? ????????.","?? ?????? ??????? ???? ????? ??? ?????? ???? ?? ??? ????????.","rider_catalog?? minor_category=?????? ???? ???"
"term_dictionary_normalized.csv","term_id","integratedCancer","term_label","?????","bottom_sheet|inline_highlight","why_it_matters","????","o?? ?? ???? ?????? ????? ??? ??????? ???? ??? ?? ?????? ?????? ??? ???? ??????? ?? ?? ??????.","?? ?????? ?????? ????? ???, ??????? ??? ?? ?????? ???? ??? ?????? ???? ?? ????.","rider_catalog?? minor_category=?????? ???? ???"
"term_dictionary_normalized.csv","term_id","integratedCancer","term_label","?????","bottom_sheet|inline_highlight","fit_case","????","?? ???? ??????? ?? ?????? ???? ???? ????? ??? ???? ???? ??? ?????? ?? ??????.","?? ???? ??????? ?? ?????? ???? ????? ???? ???? ???? ?? ???�X?? ?????.","rider_catalog?? minor_category=?????? ???? ???"
"term_dictionary_normalized.csv","term_id","integratedCancer","term_label","?????","bottom_sheet|inline_highlight","caution","????","???? ?? ???????? ??????? ???? ???????? ??? ?????? ???????. ???? ????? ???? ??????? ?? ????.","???? ?? ????????, ??????? ???? ???????? ??? ?????? ?????. ???? ????? ???? ??????? ??? ?? ?????.","rider_catalog?? minor_category=?????? ???? ???"
"term_dictionary_normalized.csv","term_id","integratedCancer","term_label","?????","bottom_sheet|inline_highlight","detail_example","????","??: ???? ???? ?? ????? ??? ?????? ?????? ??? ?? ?????? ??? ????? ?? ??????.","???? ??? ???? ???? ?? ????? ??? ?????? ??????, ??? ?? ?????? ???? ??? ????? ?? ????.","rider_catalog?? minor_category=?????? ???? ???"
"term_dictionary_normalized.csv","term_id","integratedCancer","term_label","?????","bottom_sheet|inline_highlight","compare_target_ids_csv","????","integratedCancer-vs-generalCancer","","rider_catalog?? minor_category=?????? ???? ???"
"term_dictionary_normalized.csv","term_id","integratedCancer","term_label","?????","bottom_sheet|inline_highlight","legal_notice","???????????","????? ?????? ????? ?? ????? ?????.","","rider_catalog?? minor_category=?????? ???? ???"
"term_dictionary_normalized.csv","term_id","smallCancer","term_label","????","bottom_sheet|inline_highlight","term_label","????","????","","rider_catalog?? ???? ???? ???? minor_category?? ???"
"term_dictionary_normalized.csv","term_id","smallCancer","term_label","????","bottom_sheet|inline_highlight","aliases_csv","????","????|???????","","rider_catalog?? ???? ???? ???? minor_category?? ???"
"term_dictionary_normalized.csv","term_id","smallCancer","term_label","????","bottom_sheet|inline_highlight","plain_summary","????","?????? ??? ?????o?? ????? ???? ???? ?????? ?��??? ??????.","????????? ??? ?????o??, ??????? ???? ???? ????? ?��???? ???????.","rider_catalog?? ???? ???? ???? minor_category?? ???"
"term_dictionary_normalized.csv","term_id","smallCancer","term_label","????","bottom_sheet|inline_highlight","why_it_matters","????","????? ???? ?????? ??? ?????? ??? ?? ??? ???? ?? ????o?? ?????? ???? ?????? ????? ?? ??????.","????? ???? ?????? ??? ?????? ???, ????? ?????? ???? ???? ?????? ??? ?? ????.","rider_catalog?? ???? ???? ???? minor_category?? ???"
"term_dictionary_normalized.csv","term_id","smallCancer","term_label","????","bottom_sheet|inline_highlight","fit_case","????","????? ?????? ??? ???? ?? ??? ?????? ??????? ?????? ???? ??? ?????? ????.","????? ?????? ???? ???? ?? ?? ?????? ??????? ?????? ???? ???? ???? ?????.","rider_catalog?? ???? ???? ???? minor_category?? ???"
"term_dictionary_normalized.csv","term_id","smallCancer","term_label","????","bottom_sheet|inline_highlight","caution","????","?? ???? ????? ????????? ????? ????? ???? ??? ?? ??????.","?? ???? ???????? ???????? ????? ????? ???? ????? ?? ????.","rider_catalog?? ???? ???? ???? minor_category?? ???"
"term_dictionary_normalized.csv","term_id","smallCancer","term_label","????","bottom_sheet|inline_highlight","detail_example","????","??: ?????? ??? ??��? ??? ????? ???? ????? ?????? ???? ??�� ??????.","???? ??? ??????, ??? ??��?, ??? ????? ???? ????? ?????? ???? ??�� ????.","rider_catalog?? ???? ???? ???? minor_category?? ???"
"term_dictionary_normalized.csv","term_id","smallCancer","term_label","????","bottom_sheet|inline_highlight","compare_target_ids_csv","????","smallCancer-vs-generalCancer","","rider_catalog?? ???? ???? ???? minor_category?? ???"
"term_dictionary_normalized.csv","term_id","smallCancer","term_label","????","bottom_sheet|inline_highlight","legal_notice","???????????","????? ?????? ????? ?? ????? ?????.","","rider_catalog?? ???? ???? ???? minor_category?? ???"
"term_dictionary_normalized.csv","term_id","generalCancer","term_label","????","bottom_sheet|inline_highlight","term_label","????","????","","rider_catalog?? minor_category=????? ???? ???"
"term_dictionary_normalized.csv","term_id","generalCancer","term_label","????","bottom_sheet|inline_highlight","aliases_csv","????","????","","rider_catalog?? minor_category=????? ???? ???"
"term_dictionary_normalized.csv","term_id","generalCancer","term_label","????","bottom_sheet|inline_highlight","plain_summary","????","?? ???? ?? ???? ???? ??? 1??? ???? ????????.","?? ???? ?? ???? ???? ??? 1??? ???? ?????????.","rider_catalog?? minor_category=????? ???? ???"
"term_dictionary_normalized.csv","term_id","generalCancer","term_label","????","bottom_sheet|inline_highlight","why_it_matters","????","??? ?? ???? ????? ?? ?? ?????? ?????? ?? ???????? ????? ???? ?? ???? ??? ?????.","??? ?? ?????? ?? ?? ???????? ???, ???????? ????? ???? ?? ???? ???? ????.","rider_catalog?? minor_category=????? ???? ???"
"term_dictionary_normalized.csv","term_id","generalCancer","term_label","????","bottom_sheet|inline_highlight","fit_case","????","?????? ???????? ?? ???? ?????? ???? ??????? ???? ??? ??????? ????.","?????? ???????? ?? ???? ??????? ??????? ???? ?? ????????? ???? ?????.","rider_catalog?? minor_category=????? ???? ???"
"term_dictionary_normalized.csv","term_id","generalCancer","term_label","????","bottom_sheet|inline_highlight","caution","????","???? 1? ???????? ?? ???????? ??? ???????? ???��? ?????? ??????.","???? 1? ????????, ?? ???????? ??? ?????????? ?????? ????.","rider_catalog?? minor_category=????? ???? ???"
"term_dictionary_normalized.csv","term_id","generalCancer","term_label","????","bottom_sheet|inline_highlight","detail_example","????","??: ?????? ?? ???? ?? 1? ???? ?????? ???o?? ??�� ???????.","???? ??? ?????? ?? ???? ?? 1? ???? ?????? ???o?? ??�� ?????.","rider_catalog?? minor_category=????? ???? ???"
"term_dictionary_normalized.csv","term_id","generalCancer","term_label","????","bottom_sheet|inline_highlight","compare_target_ids_csv","????","integratedCancer-vs-generalCancer","","rider_catalog?? minor_category=????? ???? ???"
